Feed,Dry Matter (%),ME (Mcal/kg),ME(MJ/kg),TDN (%),CP (%),DCP (%),CountryId,LanguageId
Maize husk ,90.69,2.84,11.87,78.36,2.88,2.15,1,1
Maize leaf,90.64,2.05,8.56,56.51,11.49,8.01,1,1
Maize sheath,90.75,2.39,10.00,66.01,3.13,2.12,1,1
Maize stem,91.29,2.21,9.23,60.93,3.30,1.88,1,1
Maize stover + molasses,90.73,2.60,10.87,71.75,4.74,3.52,1,1
Maize stover blade ,90.85,2.26,9.47,62.51,5.70,3.72,1,1
Enset leaf ,92.53,1.85,7.74,51.09,15.30,8.00,1,1
Enset pseudostem ,91.15,1.88,7.88,52.02,4.18,2.23,1,1
Enset roots ,91.19,2.06,8.63,56.97,4.31,2.55,1,1
Enset stem ,93.36,1.83,7.64,50.43,4.31,2.20,1,1
Sweet potato vines ,90.44,2.55,10.65,70.30,15.05,11.80,1,1
Banana leaf,94.08,1.73,7.22,47.66,10.62,5.58,1,1
Banana pseudostem,92.17,1.76,7.37,48.65,5.18,2.64,1,1
Coccinia abyssinica ,91.15,2.62,10.95,72.28,16.86,12.25,1,1
Avocado leaf ,93.14,1.95,8.15,53.80,12.37,7.00,1,1
Avocado leaf + twig ,92.34,2.01,8.42,55.58,13.04,7.63,1,1
Sugar cane leaves + tops,93.73,1.66,6.95,45.88,7.77,3.79,1,1
Sugar cane stem ,93.07,1.86,7.79,51.42,7.72,3.93,1,1
Sugar cane tops ,94.21,1.82,7.63,50.37,7.35,3.58,1,1
Sesame pod ,90.27,1.80,7.54,49.77,5.37,2.68,1,1
Oats grain ,92.70,2.47,10.33,68.19,8.52,5.66,1,1
Rapeseed cake ,91.20,2.52,10.55,69.64,35.60,25.70,1,1
Pearl millet grain ,88.63,2.71,11.32,74.73,11.42,0.00,1,1
Chickpea grain ,95.86,2.51,10.49,69.25,20.08,14.45,1,1
"Teff straw (soaked in ""atala"") ",92.46,2.30,9.62,63.50,0.00,0.00,1,1
Soya bean cake,93.81,2.66,11.12,73.41,47.88,39.64,1,1
Soya bean meal,93.98,2.59,10.84,71.56,45.35,36.60,1,1
Soyabean grain ,95.44,2.36,9.88,65.22,41.49,31.33,1,1
Cottonseed cake ,92.93,2.05,8.57,56.57,26.43,17.27,1,1
Noug seed cake ,93.24,1.75,7.34,48.45,31.94,18.27,1,1
Noug straw ,92.73,2.22,9.29,61.32,3.41,2.08,1,1
Sunflower cake ,91.92,2.07,8.68,57.30,25.89,15.34,1,1
Barley grain ,87.96,2.39,9.99,65.95,10.73,6.69,1,1
Roasted barley flour ,90.42,2.52,10.55,69.64,10.41,7.55,1,1
Linseed cake ,92.69,2.19,9.16,60.47,30.61,20.47,1,1
Sweet lupin grain (coarse ground) ,93.42,2.71,11.32,74.73,36.15,29.12,1,1
Sweet lupin grain (soaked) ,93.31,2.71,11.32,74.73,39.27,32.08,1,1
Sweet lupin grain (steamed) ,93.10,2.45,10.24,67.60,28.24,20.56,1,1
Rice bran ,93.62,1.57,6.58,43.44,7.29,2.85,1,1
Common bean seed ,92.13,2.85,11.92,78.69,24.35,20.11,1,1
Sugar cane waste ,96.52,1.57,6.55,43.24,2.11,0.98,1,1
Sesame cake ,91.20,2.20,9.20,60.73,30.52,20.59,1,1
Wheat bran ,91.20,2.53,10.57,69.77,16.16,11.54,1,1
Wheat flour ,84.95,1.88,7.87,51.95,10.63,5.70,1,1
Wheat malt ,91.61,2.34,9.81,64.76,10.58,7.08,1,1
Wheat middling ,89.67,2.24,9.38,61.92,15.75,9.71,1,1
Wheat shorts ,91.80,2.39,10.01,66.08,12.97,8.80,1,1
Brewery by-product (maize) ,91.36,2.43,10.17,67.13,22.41,14.22,1,1
Maize bran ,92.14,2.25,9.41,62.12,7.95,4.97,1,1
Maize flour ,90.13,2.50,10.45,68.98,8.62,6.12,1,1
Beef cattle compound feed ,92.38,2.22,9.29,61.32,15.61,10.13,1,1
Brewer's spent grain (from 'katikala') ,95.47,1.93,8.07,53.27,24.14,13.20,1,1
Brewer's spent grain (from 'tela') ,90.81,2.71,11.34,74.86,19.09,14.89,1,1
Broiler grower feed ,92.74,2.27,9.48,62.58,21.25,14.27,1,1
Broiler starter feed ,93.16,2.12,8.89,58.68,17.97,11.13,1,1
Broiler finisher feed ,92.69,2.20,9.19,60.66,17.48,11.25,1,1
Calf compound feed ,92.82,2.04,8.54,56.37,17.28,10.42,1,1
Cattle concentrate ,93.59,2.45,10.25,67.66,21.53,14.74,1,1
Commercial layer feed ,92.85,2.23,9.35,61.72,19.43,12.71,1,1
Commercial starter chick feed ,92.76,2.31,9.65,63.70,21.26,14.52,1,1
Dairy feed (mesh) ,92.77,2.17,9.06,59.81,16.97,10.76,1,1
Dairy feed (Pellet) ,93.21,2.08,8.69,57.36,16.95,9.99,1,1
Fish meal ,92.70,1.80,7.53,49.71,46.52,37.81,1,1
Poultry litter ,91.20,1.84,7.69,50.76,19.62,9.58,1,1
Sheep & goat fattening compound feed ,92.35,2.21,9.23,60.93,15.68,10.08,1,1
Khat ,92.55,1.57,6.55,43.24,13.61,6.76,1,1
Khat by-product ,90.60,2.54,10.61,70.04,10.15,7.28,1,1
Coffee husk ,90.65,2.43,10.17,67.13,11.83,7.84,1,1
Impatiens tinctoria ,91.74,2.14,8.95,59.08,6.06,3.74,1,1
Linseed straw ,92.51,1.82,7.60,50.17,5.16,2.52,1,1
Flax straw ,91.60,1.88,7.87,51.95,3.32,1.65,1,1
Tobacco ,91.30,2.55,10.67,70.43,23.24,17.36,1,1
Prickly pear,92.29,2.10,8.77,57.89,8.60,5.27,1,1
Parthenium sp. ,91.66,2.98,12.47,82.32,27.96,23.95,1,1
