Feed,Dry Matter (%),ME (Mcal/kg),ME(MJ/kg),TDN (%),CP (%),DCP (%),CountryId,LanguageId
By-Products: Date Palm,87.6,1.8,7.53,,3.2,1.69,2,1
By-Products: Carob Leaves,82.7,1.18,4.92,,5.22,2.61,2,1
By-Products: Carob Pulp,89.3,2.75,11.5,,3.9,1.2,2,1
By-Products: Orange Pulp,88,10.6,44.35,,8.5,6.375,2,1
By-Products: Citrus Pulp,15.5,3.11,13.01,,6.7,4.0937,2,1
By-Products: Sesame Residue,92,3.28,13.72,,45.7,41.13,2,1
By-Products: Brewer Grains (Dried),91.3,2.66,11.13,,26,18.33,2,1
By-Products: Brewery Grains (Wet),24.3,2.27,9.5,,28.5,21.375,2,1
By-Products: Molasses,76.1,2.46,10.29,,5.6,1.4,2,1
By-Products: Olive Cake,87.6,1.23,5.15,,6.6,4.3,2,1
By-Products: Olive Leaves,56.8,1.36,5.7,,10.5,6.8,2,1
By-Products: Sugar Beet Pulp (Wet),17.2,2.41,10.08,,9.1,6.097,2,1
By-Products: Pressed Beet Pulp,24.3,0.6,2.51,,2.1,0.7,2,1
By-Products: Dried Beet Pulp,88.9,2.18,9.12,,7.9,2.5,2,1
By-Products: Sugar Beet Pulp (Dried),88.9,2.73,11.42,,9.8,5.29,2,1
By-Products: Sugar Beet Pulp (Pressed),26,2.34,9.8,,9.2,6.1,2,1
By-Products: Tomato Pulp,27,1.85,7.7404,,18.9,14.17,2,1
By-Products: Wheat Bran,89.1,1.94,8.1,,16,7.2,2,1
By-Products: Artichoke Residues,37.21,2.01,8.4,,11.03,8.1,2,1
Shrubs: Spiny Cactus (Winter),6.7,3.33,13.93,,6.65,4.2,2,1
Shrubs: Spiny Cactus (Summer),15.7,3.59,15,,4.28,2.14,2,1
Shrubs: Spineless Cactus  (Winter),6.5,3.35,14,,5.9,3.84,2,1
Shrubs: Spineless Cactus (Summer),19.1,3.28,13.74,,2.97,1.34,2,1
Shrubs: Atriplex,33,1.7,7.12,,16.1,8.63,2,1
Shrubs: Oldman Saltbush (Leaves And Twigs)  (Atriplex Nummularia L.),28.6,1.51,6.3,,17.8,12.46,2,1
